bures	ˈburɛs
výtvoru	ˈviːtvɔru
vrazd	ˈvrazd
zastrel	ˈzastrɛl
vady	ˈvadi
vyplaz	ˈviplaz
pľujem	ˈpʎujɛm
kanom	ˈkanɔm
savka	ˈsavka
dop	ˈdɔp
slaboch	ˈsɫabɔx
kvete	ˈkvɛtɛ
ľavej	ˈʎavɛj
svojímm	ˈsvɔjiːm
pajama	ˈpajama
stropným	ˈstrɔpniːm
zľaní	ˈzʎaɲiː
serveru	ˈsɛrvɛru
komunít	ˈkɔmuniːt
skromných	ˈskrɔmniːx
vleku	ˈvɫɛku
božskom	ˈbɔʒskɔm
skapeš	ˈskapɛʃ
podvod	ˈpɔdvɔd
vykonat	ˈvikɔnat
zebrý	ˈzɛbriː
sušený	ˈsuʃɛniː
dobredu	ˈdɔbrɛdu
drake	ˈdrakɛ
zombí	ˈzɔmbiː
pokosíš	ˈpɔkɔsiːʃ
bedlam	ˈbɛdɫam
jor	ˈjɔr
mužstvo	ˈmuʒstvɔ
camo	ˈtsamɔ
domer	ˈdɔmɛr
batou	ˈbatɔu
smuš	ˈsmuʃ
care	ˈtsarɛ
napíš	ˈnapiːʃ
some	ˈsɔmɛ
vrstvým	ˈvrstviːm
pestu	ˈpɛstu
poslaný	ˈpɔsɫaniː
dasn	ˈdasn
slza	ˈsɫza
drujej	ˈdrujɛj
caren	ˈtsarɛn
vrtným	ˈvrtniːm
spozna	ˈspɔzna
balíka	ˈbaɫiːka
sent	ˈsɛnt
poms	ˈpɔms
bosa	ˈbɔsa
kamenka	ˈkamɛnka
povaľuje	ˈpɔvaʎujɛ
výjeb	ˈviːjɛb
zľavu	ˈzʎavu
kahna	ˈkaɦna
benom	ˈbɛnɔm
výdaje	ˈviːdajɛ
soška	ˈsɔʃka
skol	ˈskɔɫ
veľmý	ˈvɛʎmiː
zbere	ˈzbɛrɛ
basu	ˈbasu
pozrý	ˈpɔzriː
tepny	ˈtɛpni
pojed	ˈpɔjɛd
vymeníš	ˈvimɛniːʃ
svojským	ˈsvɔjskiːm
stredovej	ˈstrɛdɔvɛj
štvorec	ˈʃtvɔrɛt
kolač	ˈkɔɫat
vyplakala	ˈviplaka
slabneš	ˈsɫabɲɛʃ
stomp	ˈstɔmp
výdaja	ˈviːdaja
zvuku	ˈzvuku
strehu	ˈstrɛhu
spodkom	ˈspɔdkɔm
jp	ˈjp
dok	ˈdɔk
zapína	ˈzapiːna
carp	ˈtsarp
dope	ˈdɔpɛ
über	ˈbɛr
dojmu	ˈdɔjmu
stuka	ˈstuka
zručných	ˈzrutʃniːx
tají	ˈtajiː
ľode	ˈʎɔɟɛ
dostam	ˈdɔstɑm
čast	ˈtʃast
šekom	ˈʃɛkɔm
zohnal	ˈzɔɦnal
troj	ˈtrɔj
strokes	ˈstrɔkɛs
voly	ˈvɔli
vrav	ˈvrav
zmetka	ˈzmɛtka
stejky	ˈstɛjki
kost	ˈkɔst
jasna	ˈjasna
kremu	ˈkrɛmu
dzus	ˈdzus
peeka	ˈpɛka
dotykal	ˈdɔtikal
kokona	ˈkɔna
stupen	ˈstupɛn
zruš	ˈzruʃ
rodových	ˈrɔdɔviːx
spadne	ˈspadɲɛ
slova	ˈsɫɔva
son	ˈsɔn
zvanom	ˈzvanɔm
saru	ˈsaru
keš	ˈkɛʃ
což	ˈtsɔʒ
kvantum	ˈkvantum
slamke	ˈsɫamkɛ
topím	ˈtɔpiːm
kozme	ˈkɔzmɛ
